Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
apstatus,"Rogue AP status like unclassify(0), rogue(1), accept(2), suppress(3)",uint8,3,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
bssid,Basic service set ID,string,17,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
date,Date,string,10,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
devid,Device ID,string,16,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
eventtime,Event time,uint64,20,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
level,Log Level,string,11,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
logdesc,Log Description,string,4096,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
logid,Log ID,string,10,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
msg,Log Message,string,4096,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
ssid,WiFi Service Set ID,string,33,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
subtype,Log Subtype,string,20,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
time,Time,string,8,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
type,Log Type,string,16,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
tz,Time zone,string,5,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
vd,Virtual Domain Name,string,32,43583 - LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,43583,LOG_ID_EVENT_WIRELESS_ROGUE_CFG_ACCEPTED,Rogue AP status configured as accepted,Event,WIRELESS,Notice,7.2.0
