Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
ap,Access Point,string,36,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
bssid,Basic service set ID,string,17,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
channel,Channel,uint8,3,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
date,Date,string,10,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
devid,Device ID,string,16,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
encryption,The encryption type of detected rogue AP,string,12,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
eventtime,Event time,uint64,20,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
level,Log Level,string,11,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
logdesc,Log Description,string,4096,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
logid,Log ID,string,10,43713 - LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,43713,LOG_ID_EVENT_WIRELESS_SAM_CWP_AUTH_FAILED,AP as station failed in SAM CWP authentication,Event,WIRELESS,Notice,7.2.0
