Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by WF:
 blocked - url is blocked by webfilter
 passthrough - url is allowed by webfilter",string,11,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
authserver,Authentication server for the user,string,64,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
cat,Web category ID,uint8,3,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
catdesc,Web category description,string,64,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
craction,Client Reputation Action,uint32,10,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
crlevel,Client Reputation level,string,10,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
crscore,Client Reputation Score,uint32,10,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
date,Date,string,10,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
devid,Device ID,string,16,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
direction,Direction of the web traffic,string,8,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstauthserver,,string,64,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstcountry,,string,64,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstintf,Destination Interface,string,32,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstip,Destination IP,ip,39,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstport,Destination Port,uint16,5,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstuser,,string,256,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
dstuuid,,string,37,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
eventtime,Web Filter event time,uint64,20,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
eventtype,Web Filter event type,string,32,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
fctuid,FortiClient UID,string,32,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
forwardedfor,X-Forwarded-For HTTP header,string,128,13316 - LOG_ID_WEB_FTGD_QUOTA_EXPIRED,13316,LOG_ID_WEB_FTGD_QUOTA_EXPIRED,FortiGuard web filter category quota expired log message,Webfilter,ftgd_quota_expired,Warning,7.2.1
