Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
time,Time,string,8,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
logid,Log ID,string,10,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
type,Log Type,string,16,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
subtype,Log Subtype,string,20,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
level,Log Level,string,11,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
devid,Device ID,string,16,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
vd,Virtual Domain Name,string,32,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
eventtime,Event time,uint64,20,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
tz,Time zone,string,5,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
logdesc,Log Description,string,4096,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
action,Policy Action,string,65,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
msg,Log Message,string,4096,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
addrgrp,,string,36,43685 - LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,43685,LOG_ID_EVENT_WIRELESS_ADDRGRP_ADDR_APPLY,Wireless addrgrp address apply,Event,wireless,Notice,7.2.1
