Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by IPS:
 detected - Attack is detected , but NOT blocked (similar to monitor)
 dropped - Silent packet blocked
 reset - Blocked and respond with Reset
 reset_client - Blocked and reset sent to the client
 reset_server - Blocked and reset sent to the server
 drop_session - Silent block
 pass_session - Session allowed
 clear_session - Session was removed /closed",string,16,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
attack,Attack Name,string,256,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
attackcontext,The trigger patterns and the packet data with base64 encoding,string,2048,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
attackcontextid,Attack context ID / total,string,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
attackid,Attack ID,uint32,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
authserver,Authentication server for the user,string,64,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
craction,Action performed by Threat Weight,uint32,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
crlevel,Client Reputation Level,string,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
crscore,Client Reputation Score,uint32,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
date,Date,string,10,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
devid,Deivce ID,string,16,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
direction,Message/packets direction,string,8,16386 - LOGID_ATTCK_SIGNATURE_OTHERS,16386,LOGID_ATTCK_SIGNATURE_OTHERS,Attack detected by other signature,IPS,signature,Alert,7.2.10
