Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,20,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
authalgo,,string,7,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
certhash,,string,40,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
cipher,,string,6,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
cn,,string,64,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
date,,string,10,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
devid,,string,16,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
dstcountry,,string,64,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
dstintf,,string,32,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
dstintfrole,,string,10,62100 - LOG_ID_SSL_NEGOTIATION_INSPECT,62100,LOG_ID_SSL_NEGOTIATION_INSPECT,Continue inspect the SSL connection,SSL,ssl-negotiation,Notice,7.2.10
