Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint8,3,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
vd,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
user,,string,256,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
unauthusersource,,string,66,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
unauthuser,,string,66,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
tz,,string,5,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
type,,string,16,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
tlsver,,string,8,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
time,,string,8,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
subtype,,string,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcuuid,,string,37,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcport,,uint16,5,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcip,,ip,39,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcintfrole,,string,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcintf,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srcdomain,,string,255,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
srccountry,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
sni,,string,256,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
sn,,string,40,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
ski,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
sessionid,,uint32,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
service,,string,5,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
san,,string,448,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
proto,,uint8,3,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
profile,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
poluuid,,string,37,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
policytype,,string,24,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
policyid,,uint32,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
notbefore,,string,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
notafter,,string,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
msg,,string,512,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
logid,,string,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
level,,string,11,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
kxproto,,string,7,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
kxcurve,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
keysize,,uint16,4,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
keyalgo,,string,8,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
issuer,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
hostname,,string,256,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
group,,string,512,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
fctuid,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
eventtype,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
eventtime,,uint64,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
eventsubtype,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstuuid,,string,37,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstuser,,string,256,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstport,,uint16,5,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstip,,ip,39,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstintfrole,,string,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstintf,,string,32,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
dstcountry,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
devid,,string,16,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
date,,string,10,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
cn,,string,64,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
cipher,,string,6,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
certhash,,string,40,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
authalgo,,string,7,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
action,,string,20,62103 - LOG_ID_SSL_NEGOTIATION_INFO,62103,LOG_ID_SSL_NEGOTIATION_INFO,(null),SSL,ssl-negotiation,Information,7.2.12
