Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
green,Green threshold for conserve mode,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
red,,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
used,Number of Used IPs,uint32,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
total,Total,uint32,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
conserve,Flag for Conserve Mode,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
service,Name of Service,string,64,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
msg,Log Message,string,4096,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
logdesc,Log Description,string,4096,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
tz,Time zone,string,5,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
eventtime,Event time,uint64,20,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
vd,Virtual Domain Name,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
devid,Device ID,string,16,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
level,Log Level,string,11,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
subtype,Log Subtype,string,20,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
type,Log Type,string,16,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
logid,Log ID,string,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
time,Time,string,8,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
date,Date,string,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,system,Critical,7.2.13
