Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
mpsk,Multiple pre-shared keys,string,33,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
snr,,int8,4,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
srcip,Source IP,ip,39,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
authserver,Remote Authentication server,string,64,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
group,User group Name,string,512,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
user,User name of authenticated user,string,256,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
radioid,The operating radio ID,uint8,3,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
vap,Virtual Access Point,string,36,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
reason,Reason,string,256,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
ap,Access Point,string,36,43626 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,43626,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_FAILURE,Wireless station CMCC sign on failed,Event,wireless,Warning,7.2.13
