Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
time,Time,string,8,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
logid,Log ID,string,10,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
type,Log Type,string,16,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
subtype,Log Subtype,string,20,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
level,Log Level,string,11,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
devid,Device ID,string,16,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
vd,Virtual Domain Name,string,32,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
eventtime,Event time,uint64,20,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
tz,Time zone,string,5,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
logdesc,Log Description,string,4096,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
msg,Log Message,string,4096,49002 - LOG_ID_VNP_DPDK_PRIMARY_RESTART,49002,LOG_ID_VNP_DPDK_PRIMARY_RESTART,VNP Primary restarted,Event,system,Information,7.2.4
