Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
time,Time,string,8,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
logid,Log ID,string,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
type,Log Type,string,16,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
subtype,Log Subtype,string,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
level,Log Level,string,11,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
devid,Device ID,string,16,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
vd,Virtual Domain Name,string,32,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
eventtime,Event time,uint64,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
tz,Time zone,string,5,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
logdesc,Log Description,string,4096,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
auditid,Security Rating ID,uint64,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
audittime,Security Rating time,uint64,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
auditscore,Security Rating score,string,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
auditreporttype,Security Rating report type,string,20,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
criticalcount,Critical level threat count,int32,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
highcount,Security Rating result failed count for high severity,int32,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
mediumcount,Security Rating result failed count for medium severity,int32,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
lowcount,Security Rating result failed count for low severity,int32,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
passedcount,Security Rating result passed count,int32,10,52000 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,52000,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_SUMMARY,Security Rating summary,Event,security-rating,Notice,7.2.4
