Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
time,Time,string,8,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
logid,Log ID,string,10,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
type,Log Type,string,16,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
subtype,Log Subtype,string,20,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
level,Log Level,string,11,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
devid,Device ID,string,16,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
vd,Virtual Domain Name,string,32,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
eventtime,Event time,uint64,20,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
tz,Time zone,string,5,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
logdesc,Log Description,string,4096,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
action,Policy Action,string,65,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
msg,Log Message,string,4096,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
ssid,WiFi Service Set ID,string,33,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
radioband,The operating radio band,string,64,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
channel,Channel,uint8,3,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
security,Security,string,40,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
encryption,The encryption type of detected rogue AP,string,12,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
signal,The signal value of SSID or client,int8,4,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
stamac,The MAC address of wifi station,string,17,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
sn,Serial Number,string,64,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
ap,Access Point,string,36,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
reason,Reason,string,256,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
vap,Virtual Access Point,string,36,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.2.5
