Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"The status of the session:
 blocked - Blocked infected file by AV engine
 passthrough - Allowed by AV engine
 monitored - Log, but do NOT block infected file
 analytics - Submitted to Sandbox for analysis",string,18,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
analyticscksum,The checksum of the file submitted for analytics,string,64,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
analyticssubmit,The flag for analytics submission,string,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
attachment,,string,3,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
authserver,Server used to authenticate the involved user,string,64,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
cc,,string,512,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
cdrcontent,,string,256,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
checksum,The checksum of the scanned file,string,16,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
contentdisarmed,"Content Disarm action- eg. disarmed, detected",string,13,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
craction,Threat Weight action,uint32,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
crlevel,Threat Weight Level,string,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
crscore,Threat Weight Score,uint32,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
date,Date,string,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
devid,,string,16,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
direction,Message/packets direction,string,8,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstauthserver,,string,64,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstcountry,,string,64,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstintf,Destination Interface,string,32,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstip,Destination IP Address,ip,39,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstport,Destination Port,uint16,5,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstuser,,string,256,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dstuuid,,string,37,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
dtype,Data type for virus category,string,32,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
eventtime,Time when detection occured,uint64,20,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
eventtype,Event type of AV,string,32,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fctuid,Forticlient user ID,string,32,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
filehash,Used by Outbreak Prevention External Hash: the hash signature used in the detection,string,64,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
filehashsrc,Used by Outbreak Prevention External Hash: external source that provided the hash signature,string,32,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
filename,File name,string,256,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
filetype,File type,string,16,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndraction,,string,7,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndrconfidence,,string,6,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndrfileid,,uint64,20,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndrfiletype,,string,10,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndrseverity,,string,8,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fndrverdict,,string,5,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
forwardedfor,,string,128,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
from,Email address from the Email Headers (IMAP/POP3/SMTP),string,128,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
fsaaction,,string,7,8193 - MESGID_INFECT_NOTIF,8193,MESGID_INFECT_NOTIF,Infected file detected by the FortiGate unit and it passed,Virus,infected,Notice,7.2.7
