Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
time,Time,string,8,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
logid,Log ID,string,10,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
type,Log Type,string,16,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
subtype,Log Subtype,string,20,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
level,Log Level,string,11,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
devid,Device ID,string,16,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
vd,Virtual Domain Name,string,32,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
eventtime,Event time,uint64,20,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
tz,Time zone,string,5,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
logdesc,Log Description,string,4096,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
action,Policy Action,string,65,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
msg,Log Message,string,4096,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
ssid,WiFi Service Set ID,string,33,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
channel,Channel,uint8,3,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
security,Security,string,40,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
encryption,The encryption type of detected rogue AP,string,12,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
stamac,The MAC address of wifi station,string,17,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
sn,Serial Number,string,64,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
ap,Access Point,string,36,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
reason,Reason,string,256,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
vap,Virtual Access Point,string,36,43650 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,43650,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_FIRST_MSG,AP sent 1/4 message of 4 way handshake to wireless client,Event,wireless,Warning,7.2.8
