Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,17,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
date,,string,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
devid,,string,16,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstcountry,,string,64,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstintf,,string,32,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstintfrole,,string,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstip,,ip,39,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstport,,uint16,5,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
dstuuid,,string,37,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
eventtime,,uint64,20,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
eventtype,,string,32,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
infection,,string,96,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
level,,string,11,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
logid,,string,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
msg,,string,4096,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
policyid,,uint32,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
policytype,,string,24,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
profile,,string,64,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
proto,,uint8,3,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
service,,string,5,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
sessionid,,uint32,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srccountry,,string,64,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srcintf,,string,32,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srcintfrole,,string,10,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srcip,,ip,39,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srcport,,uint16,5,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
srcuuid,,string,37,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
subtype,,string,20,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
time,,string,8,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
type,,string,16,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
tz,,string,5,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
url,,string,512,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
vd,,string,32,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
violations,,string,256,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
virusid,,string,64,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
vrf,,uint8,3,60002 - LOG_ID_ICAP_SERVER_CLOSE_CONN,60002,LOG_ID_ICAP_SERVER_CLOSE_CONN,Traffic dropped as ICAP server connection is closed.,ICAP,icap,Warning,7.2.9
