Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
time,Time,string,8,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
logid,Log ID,string,10,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
type,Log Type,string,16,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
subtype,Log Subtype,string,20,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
level,Log Level,string,11,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
devid,Device ID,string,16,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
vd,Virtual Domain Name,string,32,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
eventtime,Event time,uint64,20,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
tz,Time zone,string,5,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
logdesc,Log Description,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
action,Policy Action,string,65,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
msg,Log Message,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
reason,Reason,string,256,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
desc,Description,string,128,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
informationsource,Information Source,string,4096,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
new_status,New Status,string,512,22222 - LOG_ID_EXT_RESOURCE_LOAD,22222,LOG_ID_EXT_RESOURCE_LOAD,Threat feed loaded,Event,system,Notice,7.4.0
