Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
operdrmamode,,string,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
slctdrmamode,,string,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
opertxpower,The value of operating tx power,uint32,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
cfgtxpower,Config TX power,uint32,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
opercountry,The name of operating country on a AP,string,4,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
configcountry,Config Country,string,4,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
bandwidth,Bandwidth,string,42,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
radioid,The operating radio ID,uint8,3,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
ip,,ip,39,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
ap,Access Point,string,36,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
sn,Serial Number,string,64,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
channel,Channel,uint8,3,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
radioband,The operating radio band,string,64,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
ssid,WiFi Service Set ID,string,33,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
msg,Log Message,string,4096,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
action,Policy Action,string,65,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
logdesc,Log Description,string,4096,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
tz,Time zone,string,5,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
eventtime,Event time,uint64,20,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
vd,Virtual Domain Name,string,32,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
devid,Device ID,string,16,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
level,Log Level,string,11,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
subtype,Log Subtype,string,20,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
type,Log Type,string,16,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
logid,Log ID,string,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
time,Time,string,8,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
date,Date,string,10,43528 - LOG_ID_EVENT_WIRELESS_WTPR_ERROR,43528,LOG_ID_EVENT_WIRELESS_WTPR_ERROR,Physical AP radio error activity,Event,wireless,Error,7.4.10
