Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
tamac,"The MAC address of Transmitter. If none, then Receiver",string,17,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
encrypt,The packet is encrypted or not,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
seq,Sequence,string,512,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
ds,Direction with distribution system,string,8,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
frametype,Frame Type,string,32,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
rssi,The value of Received signal strength indicator,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
threattype,WIDS threat type,string,64,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
radioiddetected,The radio ID on the AP which detected the rogue ap,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
sndetected,SN of the AP which detected the rogue AP,string,36,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
age,Time in seconds - time passed since last seen,uint32,10,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
live,Time in seconds,uint32,10,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
manuf,Manufacturer name,string,20,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
channel,Channel,uint8,3,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
bssid,Basic service set ID,string,17,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
msg,Log Message,string,4096,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
action,Policy Action,string,65,43548 - LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,43548,LOG_ID_EVENT_WIRELESS_WIDS_ASLEAP,Wireless Asleap attack detected,Event,wireless,Notice,7.4.10
