Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint8,3,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
virusid,,string,64,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
violations,,string,256,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
vd,,string,32,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
url,,string,512,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
tz,,string,5,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
type,,string,16,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
time,,string,8,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
subtype,,string,20,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srcuuid,,string,37,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srcport,,uint16,5,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srcip,,ip,39,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srcintfrole,,string,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srcintf,,string,32,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
srccountry,,string,64,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
sessionid,,uint32,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
service,,string,5,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
reason,,string,4096,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
proto,,uint8,3,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
profile,,string,64,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
policytype,,string,24,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
policyid,,uint32,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
msg,,string,4096,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
logid,,string,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
level,,string,11,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
infection,,string,96,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
eventtype,,string,32,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
eventtime,,uint64,20,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstuuid,,string,37,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstport,,uint16,5,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstip,,ip,39,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstintfrole,,string,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstintf,,string,32,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
dstcountry,,string,64,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
devid,,string,16,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
date,,string,10,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
action,,string,17,60002 - LOG_ID_ICAP_CONN_ERROR,60002,LOG_ID_ICAP_CONN_ERROR,Traffic dropped as ICAP connection is closed.,ICAP,icap,Warning,7.4.10
