Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,Virtual Routing Forwarding,uint8,3,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
vd,Virtual domain name,string,32,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
user,User name,string,256,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
unauthusersource,Unauthenticated user source,string,66,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
unauthuser,Unauthenticated user,string,66,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
tz,,string,5,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
type,Log type,string,16,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
time,Time,string,8,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
subtype,Log subtype,string,20,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srcport,Source Port,uint16,5,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srcip,Source IP,ip,39,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srcintf,Source Interface,string,64,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srcdomain,,string,255,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
srccountry,,string,64,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
sessionid,Session ID,uint32,10,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
service,Service name,string,80,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
proto,Protocol number,uint8,3,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
profiletype,Profile Type,string,36,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
profile,,string,36,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
policyid,Policy ID,uint32,10,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
logid,Log ID,string,10,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
level,Log level,string,11,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
group,User group name,string,512,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
fctuid,FortiClient User ID,string,32,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
eventtype,App Control Event Type,string,32,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
eventtime,Event Time,uint64,20,28677 - LOGID_APP_CTRL_IM_CHAT_BLOCK,28677,LOGID_APP_CTRL_IM_CHAT_BLOCK,Application control IM (chat blocked),APP-CTRL,signature,Information,7.4.11
