Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by WF:
 blocked - url is blocked by webfilter
 passthrough - url is allowed by webfilter",string,11,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
authserver,Authentication server for the user,string,64,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
chgheaders,Change headers,string,20480,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
date,Date,string,10,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
devid,Device ID,string,16,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstauthserver,,string,64,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstcountry,,string,64,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstintf,Destination Interface,string,32,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstip,Destination IP,ip,39,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstport,Destination Port,uint16,5,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstuser,,string,256,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
dstuuid,,string,37,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
eventtime,Web Filter event time,uint64,20,13632 - LOGID_HTTP_HDR_CHG_REQ,13632,LOGID_HTTP_HDR_CHG_REQ,Depends on info in msg field,Webfilter,http_header_change,Notice,7.4.4
