Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
accessctrl,,string,80,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
accessproxy,,string,80,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
action,"The status of the session:
 deny - Session was denied
 accept - Allowed Forward session
 start - Session starts (log message was created when the session was created)
 dns - DNS query return error
 ip-conn - Failed connection attempts
 close - Local-traffic session allowed
 timeout - Allowed session was timeout
 client-rst - Session reset by client
 server-rst - Session reset by server",string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
ap,Access Point name,string,36,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
app,Application name,string,96,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
appact,The security action from app control,string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
appcat,Application category,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
appid,Application ID,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
applist,Application Control profile (name),string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
apprisk,Application Risk Level,string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
apsn,Access Point serial number,string,36,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
authserver,Remote Authentication server,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
centralnatid,central-snat-map id,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
channel,WiFi Channel,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientcert,,string,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientdeviceems,,string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientdeviceid,,string,80,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientdevicemanageable,,string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientdeviceowner,,string,80,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
clientdevicetags,,string,512,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
comment,Customized policy comment,string,1024,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
craction,Action performed by Threat Weight,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
crlevel,Threat Weight level,string,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
crscore,Threat Weight score,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
date,Date,string,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
devid,Device Serial Number,string,16,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
devtype,Device Type,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstauthserver,,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstcity,,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstcountry,Country name for the destination IP,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstdevtype,Destination Device Type,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstfamily,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dsthwvendor,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dsthwversion,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstinetsvc,Internet service name for the destination,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstintf,Destination Interface,string,32,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstip,Destination IP Address,ip,39,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstmac,Destination Mac Address,string,17,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstname,Destination name,string,256,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstosname,Destination OS name,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstport,Destination Protocol Port Number,uint16,5,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstregion,,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstreputation,,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstserver,Destination Server,uint8,3,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstssid,Destination SSID,string,33,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstswversion,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstthreatfeed,,string,36,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstunauthuser,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstunauthusersource,,string,66,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstuser,,string,256,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
dstuuid,UUID of the Destination Address Object,string,37,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
duration,Duration of the session,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
durationdelta,,uint32,20,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
emsconnection,,string,8,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
eventtime,Epoch time in nanoseconds,uint64,20,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
fctuid,FortiClient UID,string,32,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
fwdsrv,,string,64,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
gatewayid,,uint32,10,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
group,User group name,string,512,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
identifier,,uint16,5,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
lanin,LAN incoming traffic in bytes,uint64,20,15 - LOG_ID_TRAFFIC_START_FORWARD,15,LOG_ID_TRAFFIC_START_FORWARD,Forward traffic session start,Traffic,forward,Notice,7.4.4
