Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Status of the session. Uses following definition: - Deny = blocked by firewall policy. - Start = session start log (special option to enable logging at start of a session). This means firewall allowed. - All Others = allowed by Firewall Policy and the status indicates how it was closed.,string,17,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
agent,Agent,string,1024,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
authserver,Authentication Server,string,64,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
constraint,WAF HTTP protocol restrictions,string,4096,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
date,Date,string,10,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
devid,Device ID,string,16,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
direction,Direction,string,4096,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstauthserver,,string,64,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstcountry,,string,64,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstintf,Destination Interface,string,32,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstip,Destination IP Address,ip,39,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstport,Destination Port,uint16,5,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstuser,,string,256,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
dstuuid,,string,37,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
eventid,Event ID,uint32,10,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
eventtime,"Event Time, Time when WAF event detected",uint64,20,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
eventtype,Event Type,string,32,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
fctuid,FortiClient UID,string,32,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
group,User Group Name,string,512,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
httpmethod,,string,20,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
level,Log Level,string,11,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
logid,Log ID,string,10,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
msg,Log Message,string,4096,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
name,Method or custom signature name,string,64,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
policyid,Policy ID,uint32,10,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
policytype,,string,24,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
poluuid,,string,37,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
profile,Full profile name,string,64,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
proto,Protocol,uint8,3,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
ratemethod,,string,4096,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
rawdata,Raw Data,string,20480,30251 - LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,30251,LOGID_WAF_CUSTOM_SIGNATURE_BLOCK,Web application firewall blocked application by custom signature,WAF,waf-custom-signature,Warning,7.4.4
