Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
time,Time,string,8,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
logid,Log ID,string,10,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
type,Log Type,string,16,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
subtype,Log Subtype,string,20,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
level,Log Level,string,11,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
devid,Device ID,string,16,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
vd,Virtual Domain Name,string,32,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
eventtime,Event time,uint64,20,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
tz,Time zone,string,5,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
logdesc,Log Description,string,4096,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
action,Policy Action,string,65,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
msg,Log Message,string,4096,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
status,Status,string,23,40118 - LOG_ID_L2TPD_CLIENT_CON,40118,LOG_ID_L2TPD_CLIENT_CON,L2TP client connected,Event,vpn,Information,7.4.4
