Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by WF:
 blocked - url is blocked by webfilter
 passthrough - url is allowed by webfilter",string,11,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
authserver,Authentication server for the user,string,64,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
cat,Web category ID,uint8,3,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
catdesc,Web category description,string,64,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
craction,Client Reputation Action,uint32,10,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
crlevel,Client Reputation level,string,10,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
crscore,Client Reputation Score,uint32,10,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
date,Date,string,10,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
devid,Device ID,string,16,13056 - LOG_ID_WEB_FTGD_CAT_BLK,13056,LOG_ID_WEB_FTGD_CAT_BLK,URL belongs to an blocked category within the firewall policy,Webfilter,ftgd_blk,Warning,7.4.5
