Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
time,,string,8,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
logid,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
type,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
subtype,,string,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
level,,string,11,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
devid,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
vd,,string,32,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
eventtime,,uint64,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
tz,,string,5,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
logdesc,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
user,,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
ui,,string,64,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
action,,string,65,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
msg,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
name,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
sn,,string,64,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
srcip,,ip,39,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
status,Status,string,23,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
reason,Reason,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchmirrorsession,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchautoip,,ip,39,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchinterface,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
srcmac,,string,17,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
vlan,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchtrunkinterface,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
eventtype,,string,48,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchphysicalport,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchsysteminterface,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
cfgtid,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
cfgpath,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
cfgobj,,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
cfgattr,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchtrunk,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchl2count,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchl2capacity,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
cert,Certificate,string,36,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
switchaclid,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.5
