Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vap,Virtual Access Point,string,36,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
reason,Reason,string,256,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
ap,Access Point,string,36,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
sn,Serial Number,string,64,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
stacount,The count of wifi stations,uint32,10,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
stamac,The MAC address of wifi station,string,17,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
radioband,The operating radio band,string,64,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
ssid,WiFi Service Set ID,string,33,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
msg,Log Message,string,4096,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
action,Policy Action,string,65,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
logdesc,Log Description,string,4096,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
tz,Time zone,string,5,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
eventtime,Event time,uint64,20,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
vd,Virtual Domain Name,string,32,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
devid,Device ID,string,16,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
level,Log Level,string,11,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
subtype,Log Subtype,string,20,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
type,Log Type,string,16,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
logid,Log ID,string,10,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
time,Time,string,8,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
date,Date,string,10,43596 - LOG_ID_EVENT_WIRELESS_CLB_RETRY,43596,LOG_ID_EVENT_WIRELESS_CLB_RETRY,Wireless client load balancing retry,Event,wireless,Notice,7.4.7
