Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
apstatus,"Rogue AP status like unclassify(0), rogue(1), accept(2), suppress(3)",uint8,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
radioidclosest,The radio ID on the AP closest with the detected rogue ap,uint8,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
snclosest,SN of the AP closest to the rogue AP,string,36,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
stacount,The count of wifi stations,uint32,10,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
radioiddetected,The radio ID on the AP which detected the rogue ap,uint8,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
sndetected,SN of the AP which detected the rogue AP,string,36,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
apscan,The name of AP to detect rogue ap,string,36,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
stamac,The MAC address of wifi station,string,17,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
detectionmethod,Detection Method,string,21,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
onwire,The rogue ap is onwire or not,string,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
age,Time in seconds - time passed since last seen,uint32,10,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
live,Time in seconds,uint32,10,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
noise,WiFi signal noise level,int8,4,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
signal,The signal value of SSID or client,int8,4,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
encryption,The encryption type of detected rogue AP,string,12,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
security,Security,string,40,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
manuf,Manufacturer name,string,20,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
channel,Channel,uint8,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
radioband,The operating radio band,string,64,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
rate,WiFi band width rate,uint16,6,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
aptype,The AP type is Ad-hoc mode or regular AP mode,uint8,3,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
bssid,Basic service set ID,string,17,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
ssid,WiFi Service Set ID,string,33,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
msg,Log Message,string,4096,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
action,Policy Action,string,65,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
logdesc,Log Description,string,4096,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
tz,Time zone,string,5,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
eventtime,Event time,uint64,20,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
vd,Virtual Domain Name,string,32,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
devid,Device ID,string,16,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
level,Log Level,string,11,43565 - LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,43565,LOG_ID_EVENT_WIRELESS_ROGUE_ONAIR,Rogue AP on air,Event,wireless,Notice,7.4.8
