Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
mpsk,Multiple pre-shared keys,string,33,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
snr,,int8,4,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
srcip,Source IP,ip,39,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
authserver,Remote Authentication server,string,64,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
group,User group Name,string,512,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
user,User name of authenticated user,string,256,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
radioid,The operating radio ID,uint8,3,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
vap,Virtual Access Point,string,36,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
reason,Reason,string,256,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
ap,Access Point,string,36,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
sn,Serial Number,string,64,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
stamac,The MAC address of wifi station,string,17,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
signal,The signal value of SSID or client,int8,4,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
encryption,The encryption type of detected rogue AP,string,12,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
security,Security,string,40,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
channel,Channel,uint8,3,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
radioband,The operating radio band,string,64,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
ssid,WiFi Service Set ID,string,33,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
msg,Log Message,string,4096,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
action,Policy Action,string,65,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
logdesc,Log Description,string,4096,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
tz,Time zone,string,5,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
eventtime,Event time,uint64,20,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
vd,Virtual Domain Name,string,32,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
devid,Device ID,string,16,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
level,Log Level,string,11,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
subtype,Log Subtype,string,20,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
type,Log Type,string,16,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
logid,Log ID,string,10,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
time,Time,string,8,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
date,Date,string,10,43580 - LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,43580,LOG_ID_EVENT_WIRELESS_STA_LEAVE_WTP,Wireless client left WTP,Event,wireless,Notice,7.4.8
