Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
action,Policy Action,string,65,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
user,User name of authenticated user,string,256,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
logdesc,Log Description,string,4096,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
tz,Time zone,string,5,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
eventtime,Event time,uint64,20,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
vd,Virtual Domain Name,string,32,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
devid,Device ID,string,16,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
level,Log Level,string,11,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
subtype,Log Subtype,string,20,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
type,Log Type,string,16,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
logid,Log ID,string,10,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
time,Time,string,8,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
date,Date,string,10,32229 - LOG_ID_LOAD_IMG_FAIL_NO_RSA,32229,LOG_ID_LOAD_IMG_FAIL_NO_RSA,Firmware image without valid RSA signature loaded,Event,system,Critical,7.4.9
