Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
status,Status,string,23,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
action,Policy Action,string,65,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
ui,User Interface,string,64,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
user,User name of authenticated user,string,256,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
logdesc,Log Description,string,4096,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
tz,Time zone,string,5,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
eventtime,Event time,uint64,20,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
vd,Virtual Domain Name,string,32,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
devid,Device ID,string,16,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
level,Log Level,string,11,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
subtype,Log Subtype,string,20,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
type,Log Type,string,16,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
logid,Log ID,string,10,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
time,Time,string,8,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
date,Date,string,10,32246 - LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,32246,LOG_ID_RESTORE_USR_DEF_IPS_CRITICAL,IPS custom signatures restored critical,Event,system,Critical,7.4.9
