Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
action,Policy Action,string,65,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
user,User name of authenticated user,string,256,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
logdesc,Log Description,string,4096,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
tz,Time zone,string,5,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
eventtime,Event time,uint64,20,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
vd,Virtual Domain Name,string,32,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
devid,Device ID,string,16,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
level,Log Level,string,11,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
subtype,Log Subtype,string,20,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
type,Log Type,string,16,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
logid,Log ID,string,10,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
time,Time,string,8,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
date,Date,string,10,38407 - LOGID_NOTIF_CODE_SENDTO_EMAIL,38407,LOGID_NOTIF_CODE_SENDTO_EMAIL,Guest user account login information sent to email,Event,system,Notice,7.4.9
