Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
remotewtptime,The time of AP when client trying to connect,string,32,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
snprev,,string,36,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
snr,,int8,4,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
authserver,Remote Authentication server,string,64,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
user,User name of authenticated user,string,256,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
radioid,The operating radio ID,uint8,3,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
vap,Virtual Access Point,string,36,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
reason,Reason,string,256,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
ap,Access Point,string,36,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
sn,Serial Number,string,64,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
stamac,The MAC address of wifi station,string,17,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
signal,The signal value of SSID or client,int8,4,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
encryption,The encryption type of detected rogue AP,string,12,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
security,Security,string,40,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
channel,Channel,uint8,3,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
ssid,WiFi Service Set ID,string,33,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
msg,Log Message,string,4096,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
action,Policy Action,string,65,43646 - LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,43646,LOG_ID_EVENT_WIRELESS_STA_FT_REASSOC_REQ,Wireless client sent FT reassociation request,Event,wireless,Notice,7.4.9
