Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,Virtual router forwarding,uint16,3,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
vd,Virtual domain name,string,32,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
user,User name,string,256,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
url,The URL address,string,512,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
unauthusersource,Unauthenticated user source,string,66,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
unauthuser,Unauthenticated user,string,66,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
tz,Time Zone,string,5,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
type,Log type,string,16,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
trueclntip,True-Client-IP HTTP header,ip,39,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
transid,,uint32,10,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
time,Time,string,8,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
subtype,Log subtype,string,20,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcuuid,,string,37,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcport,Source Port,uint16,5,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcname,,string,64,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcmac,,string,17,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcip,Source IP,ip,39,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcintf,Source Interface,string,32,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srcdomain,,string,255,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
srccountry,,string,64,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
sessionid,Session ID,uint32,10,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
service,Service name,string,36,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
sentbyte,Sent Bytes,uint64,20,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
reqtype,Request type,string,8,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
referralurl,Referrer URI,string,512,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
rcvdbyte,Received Bytes,uint64,20,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
rawdata,"Extended logging data including HTTP method, URL, client content type, server content type, user agent, referer, x-forwarded-for",string,20480,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
proto,Protocol number,uint8,3,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
profile,Web Filter profile name,string,64,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
poluuid,,string,37,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
policytype,,string,24,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
policymode,,string,8,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
policyid,Policy ID,uint32,10,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
msg,Log message,string,512,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
logid,Log ID,string,10,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
level,Log Level,string,11,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
initiator,The initiator user for override,string,64,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
httpmethod,,string,20,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
hostname,The host name of a URL,string,256,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
group,User group name,string,512,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
forwardedfor,X-Forwarded-For HTTP header,string,128,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
fctuid,FortiClient UID,string,32,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
eventtype,Web Filter event type,string,32,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
eventtime,Web Filter event time,uint64,20,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
error,URL rating error message,string,256,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
dstuuid,,string,37,12801 - LOG_ID_WEB_FTGD_WARNING,12801,LOG_ID_WEB_FTGD_WARNING,Rating error occurred (warning),Webfilter,ftgd_err,Warning,7.6.2
