Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
state,State,string,64,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
connector,,string,64,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
msg,Log Message,string,4096,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
ui,User Interface,string,64,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
user,User name of authenticated user,string,256,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
logdesc,Log Description,string,4096,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
tz,Time zone,string,5,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
eventtime,Event time,uint64,20,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
vd,Virtual Domain Name,string,32,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
devid,Device ID,string,16,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
level,Log Level,string,11,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
subtype,Log Subtype,string,20,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
type,Log Type,string,16,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
logid,Log ID,string,10,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
time,Time,string,8,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
date,Date,string,10,22908 - LOG_ID_OUTPUT_DETECTION,22908,LOG_ID_OUTPUT_DETECTION,Digital-IO output state change,Event,system,Notice,7.6.2
