Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
mpsk,Multiple pre-shared keys,string,33,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
snr,,int8,4,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
srcip,Source IP,ip,39,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
authserver,Remote Authentication server,string,64,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
group,User group Name,string,512,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
user,User name of authenticated user,string,256,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
radioid,The operating radio ID,uint8,3,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
vap,Virtual Access Point,string,36,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
reason,Reason,string,256,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
ap,Access Point,string,36,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
sn,Serial Number,string,64,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
stamac,The MAC address of wifi station,string,17,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
signal,The signal value of SSID or client,int8,4,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
encryption,The encryption type of detected rogue AP,string,12,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
security,Security,string,40,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
channel,Channel,uint8,3,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
radioband,The operating radio band,string,64,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
ssid,WiFi Service Set ID,string,33,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
msg,Log Message,string,4096,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
action,Policy Action,string,65,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
logdesc,Log Description,string,4096,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
tz,Time zone,string,5,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
eventtime,Event time,uint64,20,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
vd,Virtual Domain Name,string,32,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
devid,Device ID,string,16,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
level,Log Level,string,11,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
subtype,Log Subtype,string,20,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
type,Log Type,string,16,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
logid,Log ID,string,10,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
time,Time,string,8,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
date,Date,string,10,43573 - LOG_ID_EVENT_WIRELESS_STA_AUTH,43573,LOG_ID_EVENT_WIRELESS_STA_AUTH,Wireless client authenticated,Event,wireless,Notice,7.6.2
