Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint16,3,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
vd,,string,32,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
user,,string,256,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
url,,string,512,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
unauthusersource,,string,66,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
unauthuser,,string,66,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
tz,,string,5,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
type,,string,16,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
trueclntip,,ip,39,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
transid,,uint32,10,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
to,,string,512,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
time,,string,8,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
subtype,,string,20,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
subservice,,string,16,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
subject,,string,256,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srczone,,string,32,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcuuid,,string,37,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcport,,uint16,5,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcname,,string,64,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcmac,,string,17,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcip,,ip,39,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcintfrole,,string,10,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcintf,,string,32,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srcdomain,,string,255,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
srccountry,,string,64,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
sharename,,string,256,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
sessionid,,uint32,10,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
service,,string,36,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
sender,,string,128,64001 - LOG_ID_FILE_FILTER_LOG,64001,LOG_ID_FILE_FILTER_LOG,File was detected  by file filter,FILE-FILTER,file-filter,Notice,7.6.4
