Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
devintfname,HA device interface name,string,32,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
ha_role,The HA role in the cluster,string,9,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
msg,Log Message,string,4096,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
logdesc,Log Description,string,4096,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
tz,Time zone,string,5,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
eventtime,Event time,uint64,20,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
vd,Virtual Domain Name,string,32,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
devid,Device ID,string,16,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
level,Log Level,string,11,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
subtype,Log Subtype,string,20,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
type,Log Type,string,16,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
logid,Log ID,string,10,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
time,Time,string,8,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
date,Date,string,10,37898 - MESGID_HADEV_FAIL,37898,MESGID_HADEV_FAIL,HA device interface failed,Event,ha,Warning,7.6.5
