Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
logdesc,Log Description,string,4096,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
tz,Time zone,string,5,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
eventtime,Event time,uint64,20,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
vd,Virtual Domain Name,string,32,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
devid,Device ID,string,16,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
level,Log Level,string,11,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
subtype,Log Subtype,string,20,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
type,Log Type,string,16,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
logid,Log ID,string,10,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
time,Time,string,8,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
date,Date,string,10,46524 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,46524,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH_DATA_PLAN,LTE modem active SIM card switched: data plan reached,Event,system,Information,7.6.5
