Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vd,Virtual Domain Name,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
user,User name for authentication,string,256,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
unauthusersource,Unauthenticated User Source,string,66,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
unauthuser,Unauthenticated User,string,66,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
tz,Time zone,string,5,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
type,Log type,string,16,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
time,Time,string,8,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
subtype,Log subtype,string,20,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srczone,,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcuuid,,string,37,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcport,Source Port,uint16,5,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcip,Source IP,ip,39,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcintf,Source Interface,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srcdomain,,string,255,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
srccountry,,string,64,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
severity,Severity level of shell command,string,8,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
sessionid,Session ID,uint32,10,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
proto,Protocol number,uint8,3,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
profilegroup,,string,48,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
profile,Full profile name,string,64,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
poluuid,,string,37,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
policytype,,string,24,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
policyid,Policy ID,uint32,10,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
login,SSH login Name,string,128,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
logid,Log ID,string,10,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
level,Log level,string,11,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
hostkeystatus,,string,15,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
group,Group name for authentication,string,512,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
fctuid,FortiClient UID,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
eventtype,Event Type,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
eventtime,Event time,uint64,20,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
dstzone,,string,32,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
dstuuid,,string,37,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
dstuser,,string,256,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
dstport,Destination Port,uint16,5,61010 - LOG_ID_SSH_CHANNEL_BLOCK,61010,LOG_ID_SSH_CHANNEL_BLOCK,SSH channel is blocked,SSH,ssh-channel,Warning,7.6.5
