Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ip,,ip,39,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
sn,Serial Number,string,64,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
msg,Log Message,string,4096,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
logdesc,Log Description,string,4096,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
tz,Time zone,string,5,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
eventtime,Event time,uint64,20,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
vd,Virtual Domain Name,string,32,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
devid,Device ID,string,16,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
level,Log Level,string,11,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
subtype,Log Subtype,string,20,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
type,Log Type,string,16,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
logid,Log ID,string,10,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
time,Time,string,8,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
date,Date,string,10,46410 - LOG_ID_EVENT_EXT_REMOTE_DEBUG,46410,LOG_ID_EVENT_EXT_REMOTE_DEBUG,Remote FortiExtender debug activity,Event,fortiextender,Debug,7.6.6
