Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
conserve,Flag for Conserve Mode,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
date,Date,string,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
devid,Device ID,string,16,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
eventtime,Event time,uint64,20,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
green,Green threshold for conserve mode,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
level,Log Level,string,11,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
logdesc,Log Description,string,4096,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
logid,Log ID,string,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
msg,Log Message,string,4096,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
red,,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
service,Name of Service,string,64,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
subtype,Log Subtype,string,20,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
time,Time,string,8,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
total,Total,uint32,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
type,Log Type,string,16,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
tz,Time zone,string,5,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
used,Number of Used IPs,uint32,10,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
vd,Virtual Domain Name,string,32,22012 - LOG_ID_LEAVE_MEM_CONSERVE_MODE,22012,LOG_ID_LEAVE_MEM_CONSERVE_MODE,Memory conserve mode exited,Event,SYSTEM,Critical,7.2.0
