Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
date,Date,string,10,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
devid,Device ID,string,16,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
dst_host,Destination Host,string,64,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
eventtime,Event time,uint64,20,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
group,User group Name,string,64,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
level,Log Level,string,11,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
logdesc,Log Description,string,4096,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
logid,Log ID,string,10,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
msg,Log Message,string,4096,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
reason,Reason,string,256,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
remip,IPsec VPN remote gateway IP address,ip,39,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
subtype,Log Subtype,string,20,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
time,Time,string,8,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
tunnelid,IPsec VPN tunnel ID,uint32,10,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
tunneltype,IPsec VPN tunnel type,string,64,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
type,Log Type,string,16,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
tz,Time zone,string,5,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
user,User name of authenticated user,string,256,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
vd,Virtual Domain Name,string,32,39424 - LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,39424,LOG_ID_EVENT_SSL_VPN_USER_TUNNEL_UP,SSL VPN tunnel up,Event,VPN,Information,7.2.0
