Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Action,string,16,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
attack,Attack,string,256,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
attackid,Attack ID,uint32,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
count,Count,uint32,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
craction,Client Reputation Action,uint32,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
crlevel,Client Reputation Level,string,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
crscore,Client Reputation Score,uint32,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
date,Date,string,10,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
devid,Deivce ID,string,16,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
dstcountry,,string,64,18433 - LOGID_ATTCK_ANOMALY_ICMP,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,anomaly,Alert,7.2.1
