Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
time,Time,string,8,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
logid,Log ID,string,10,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
type,Log Type,string,16,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
subtype,Log Subtype,string,20,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
level,Log Level,string,11,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
devid,Device ID,string,16,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
vd,Virtual Domain Name,string,32,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
eventtime,Event time,uint64,20,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
tz,Time zone,string,5,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
logdesc,Log Description,string,4096,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
msg,Log Message,string,4096,20100 - LOG_ID_WEB_CAT_UPDATED,20100,LOG_ID_WEB_CAT_UPDATED,FortiGuard web filter category list updated,Event,system,Critical,7.2.1
