Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
admin,Administrator,string,64,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
banned_rule,NAC quarantine Banned Rule Name,string,80,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
banned_src,NAC quarantine Banned Source IP,string,16,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
policyid,Policy ID,uint32,10,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
group,User group Name,string,512,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
dst_int,Destination Interface,string,64,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
src_int,Source Interface,string,64,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
profile,Profile Name,string,64,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
duration,Duration,uint32,10,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
dstport,Destination Protocol Port,uint16,5,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
dstip,Destination IP,ip,39,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
srcport,Source port,uint16,5,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
srcip,Source IP,ip,39,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
proto,Protocol Number,uint8,3,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
service,Name of Service,string,64,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
msg,Log Message,string,4096,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
action,Policy Action,string,65,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
user,User name of authenticated user,string,256,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
logdesc,Log Description,string,4096,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
tz,Time zone,string,5,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
eventtime,Event time,uint64,20,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
vd,Virtual Domain Name,string,32,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
devid,Device ID,string,16,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
level,Log Level,string,11,43777 - LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,43777,LOG_ID_EVENT_NAC_ANOMALY_QUARANTINE,NAC anomaly quarantine,Event,system,Notice,7.2.12
