Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Security action performed by DNS filter,string,16,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
botnetdomain,Botnet domain name,string,256,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
botnetip,Botnet IP address,ip,39,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
cat,DNS category ID,uint8,3,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
catdesc,DNS category description,string,64,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
date,Date,string,10,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
devid,Device ID,string,16,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
domainfilteridx,Domain Filter Index,uint8,3,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
domainfilterlist,Domain Filter List,string,512,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstcountry,,string,64,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstintf,Destination Interface,string,32,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstintfrole,Destination Interface Role,string,10,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstip,Destination IP,ip,39,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstport,Destination Port,uint16,5,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
dstuser,,string,256,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
error,DNS filter service error message,string,256,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
eventtime,Event Timestamp,uint64,20,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
eventtype,DNS Type (DNS query/DNS response),string,32,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
exchange,Mail Exchanges from DNS response answer section,string,256,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
fctuid,FortiClient ID,string,32,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
group,User group name,string,512,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
ipaddr,IP addresses from DNS response answer section,string,512,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
level,Log Level,string,11,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
logid,Log ID,string,10,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
msg,Log message,string,512,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
policyid,Policy ID,uint32,10,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
policytype,,string,24,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
poluuid,,string,37,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
profile,Profile name for DNS filter,string,64,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
proto,Protocol number,uint8,3,54804 - LOG_ID_DNS_SAFE_SEARCH,54804,LOG_ID_DNS_SAFE_SEARCH,DNS Safe Search enforced,DNS,dns-response,Notice,7.2.2
