Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
time,Time,string,8,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
logid,Log ID,string,10,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
type,Log Type,string,16,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
subtype,Log Subtype,string,20,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
level,Log Level,string,11,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
devid,Device ID,string,16,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
vd,Virtual Domain Name,string,32,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
eventtime,Event time,uint64,20,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
tz,Time zone,string,5,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
logdesc,Log Description,string,4096,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
msg,Log Message,string,4096,20069 - LOG_ID_RAD_MISMATCH_OTH_FLAG,20069,LOG_ID_RAD_MISMATCH_OTH_FLAG,RADVD local AdvOtherConfigFlag disagrees with remote site,Event,system,Warning,7.2.3
