Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
time,Time,string,8,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
logid,Log ID,string,10,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
type,Log Type,string,16,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
subtype,Log Subtype,string,20,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
level,Log Level,string,11,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
devid,Device ID,string,16,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
vd,Virtual Domain Name,string,32,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
eventtime,Event time,uint64,20,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
tz,Time zone,string,5,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
logdesc,Log Description,string,4096,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
action,Policy Action,string,65,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
msg,Log Message,string,4096,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
nat,NAT IP Address,ip,39,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
saddr,Source Address IP,string,80,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
poolname,IP Pool Name,string,36,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
portbegin,Port Number to Begin,uint16,5,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
portend,Port Number to End,uint16,5,22015 - LOG_ID_IPPOOLPBA_CREATE,22015,LOG_ID_IPPOOLPBA_CREATE,IP pool PBA created,Event,system,Notice,7.2.4
