Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
time,Time,string,8,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
logid,Log ID,string,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
type,Log Type,string,16,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
subtype,Log Subtype,string,20,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
level,Log Level,string,11,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
devid,Device ID,string,16,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
vd,Virtual Domain Name,string,32,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
eventtime,Event time,uint64,20,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
tz,Time zone,string,5,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
logdesc,Log Description,string,4096,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
action,Policy Action,string,65,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
tunnelid,IPsec VPN tunnel ID,uint32,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
tunneltype,IPsec VPN tunnel type,string,64,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
remip,IPsec VPN remote gateway IP address,ip,39,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
user,User name of authenticated user,string,256,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
group,User group Name,string,512,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
msg,Log Message,string,4096,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
reason,Reason,string,256,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
duration,Duration,uint32,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
sentbyte,Bytes Sent,uint64,20,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.2.5
