Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
time,Time,string,8,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
logid,Log ID,string,10,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
type,Log Type,string,16,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
subtype,Log Subtype,string,20,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
level,Log Level,string,11,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
devid,Device ID,string,16,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
vd,Virtual Domain Name,string,32,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
eventtime,Event time,uint64,20,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
tz,Time zone,string,5,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
logdesc,Log Description,string,4096,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
action,Policy Action,string,65,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
user,User name of authenticated user,string,256,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
msg,Log Message,string,4096,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
status,Status,string,23,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
ui,User Interface,string,64,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
name,Display Name of the Connection,string,128,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
cert-type,Certification type,string,6,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.2.6
