Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,20,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
authalgo,,string,7,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
cat,,uint8,3,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
catdesc,,string,64,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
cipher,,string,6,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
date,,string,10,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
devid,,string,16,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstcountry,,string,64,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstintf,,string,32,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstintfrole,,string,10,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstip,,ip,39,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstport,,uint16,5,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstuser,,string,256,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
dstuuid,,string,37,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
eventsubtype,,string,32,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
eventtime,,uint64,20,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
eventtype,,string,32,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
fctuid,,string,32,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
group,,string,512,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
hostname,,string,256,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
kxcurve,,string,32,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
kxproto,,string,7,62009 - LOG_ID_SSL_EXEMPT_USER_CATEGORY,62009,LOG_ID_SSL_EXEMPT_USER_CATEGORY,SSL connection is exempted based on user category rating,SSL,ssl-exempt,Notice,7.2.7
