Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
time,Time,string,8,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
logid,Log ID,string,10,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
type,Log Type,string,16,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
subtype,Log Subtype,string,20,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
level,Log Level,string,11,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
devid,Device ID,string,16,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
vd,Virtual Domain Name,string,32,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
eventtime,Event time,uint64,20,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
tz,Time zone,string,5,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
logdesc,Log Description,string,4096,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
action,Policy Action,string,65,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
msg,Log Message,string,4096,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
ssid,WiFi Service Set ID,string,33,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
security,Security,string,40,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
encryption,The encryption type of detected rogue AP,string,12,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
stamac,The MAC address of wifi station,string,17,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
sn,Serial Number,string,64,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
ap,Access Point,string,36,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
reason,Reason,string,256,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
vap,Virtual Access Point,string,36,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
remotewtptime,The time of AP when client trying to connect,string,32,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
server,AD server FQDN or IP,string,64,43662 - LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,43662,LOG_ID_EVENT_WIRELESS_STA_DHCP_DUP_IP,IP offered has been used by another wireless station,Event,wireless,Warning,7.2.8
