Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
time,Time,string,8,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
logid,Log ID,string,10,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
type,Log Type,string,16,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
subtype,Log Subtype,string,20,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
level,Log Level,string,11,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
devid,Device ID,string,16,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
vd,Virtual Domain Name,string,32,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
eventtime,Event time,uint64,20,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
tz,Time zone,string,5,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
logdesc,Log Description,string,4096,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
action,Policy Action,string,65,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
msg,Log Message,string,4096,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
ssid,WiFi Service Set ID,string,33,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
bssid,Basic service set ID,string,17,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
aptype,The AP type is Ad-hoc mode or regular AP mode,uint8,3,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
rate,WiFi band width rate,uint16,6,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
radioband,The operating radio band,string,64,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
channel,Channel,uint8,3,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
manuf,Manufacturer name,string,20,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
security,Security,string,40,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
encryption,The encryption type of detected rogue AP,string,12,43567 - LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,43567,LOG_ID_EVENT_WIRELESS_FAKEAP_DETECT,Fake AP detected,Event,wireless,Warning,7.2.9
