Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"The status of the ssh-channel:
 passthrough - channel is allowed
 blocked - channel is blocked",string,17,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
channeltype,"Type of Channel:
 x11, shell, exec, tcp-fprward, tun-forward, sftp. scp",string,15,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
command,Shell command,string,256,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
date,Date,string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
devid,Device ID,string,16,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
direction,Direction of session,string,4096,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstcountry,,string,64,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstintf,Destination Interface,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstip,Destination IP,ip,39,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstport,Destination Port,uint16,5,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstuser,,string,256,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
dstuuid,,string,37,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
eventtime,Event time,uint64,20,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
eventtype,Event Type,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
fctuid,FortiClient UID,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
group,Group name for authentication,string,512,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
hostkeystatus,,string,15,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
level,Log level,string,11,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
logid,Log ID,string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
login,SSH login Name,string,128,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
policyid,Policy ID,uint32,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
policytype,,string,24,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
profile,Full profile name,string,64,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
proto,Protocol number,uint8,3,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
sessionid,Session ID,uint32,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
severity,Severity level of shell command,string,8,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srccountry,,string,64,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcdomain,,string,255,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcintf,Source Interface,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcip,Source IP,ip,39,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcport,Source Port,uint16,5,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
srcuuid,,string,37,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
subtype,Log subtype,string,20,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
time,Time,string,8,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
type,Log type,string,16,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
tz,Time zone,string,5,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
unauthuser,Unauthenticated User,string,66,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
unauthusersource,Unauthenticated User Source,string,66,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
user,User name for authentication,string,256,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
vd,Virtual Domain Name,string,32,61013 - LOG_ID_SSH_HOST_KEY_NOTIF,61013,LOG_ID_SSH_HOST_KEY_NOTIF,SSH host-key is not trust,SSH,ssh-hostkey,Notice,7.2.9
