Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
time,Time,string,8,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
logid,Log ID,string,10,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
type,Log Type,string,16,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
subtype,Log Subtype,string,20,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
level,Log Level,string,11,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
devid,Device ID,string,16,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
vd,Virtual Domain Name,string,32,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
eventtime,Event time,uint64,20,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
tz,Time zone,string,5,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
logdesc,Log Description,string,4096,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
action,Policy Action,string,65,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
msg,Log Message,string,4096,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
dstport,Destination Protocol Port,uint16,5,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
path,,string,512,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
desc,Description,string,128,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
informationsource,Information Source,string,4096,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
profile,Profile Name,string,64,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
hostname,Hostname,string,128,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
host,,string,256,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
old_status,Original Status,string,512,22223 - LOG_ID_EXT_RESOURCE_DEBUG,22223,LOG_ID_EXT_RESOURCE_DEBUG,Threat feed debug,Event,system,Debug,7.4.1
