Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
time,Time,string,8,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
logid,Log ID,string,10,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
type,Log Type,string,16,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
subtype,Log Subtype,string,20,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
level,Log Level,string,11,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
devid,Device ID,string,16,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
vd,Virtual Domain Name,string,32,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
eventtime,Event time,uint64,20,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
tz,Time zone,string,5,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
logdesc,Log Description,string,4096,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
user,User name of authenticated user,string,256,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
ui,User Interface,string,64,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
action,Policy Action,string,65,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
msg,Log Message,string,4096,32207 - LOG_ID_RETRIEVE_CONF_LIST,32207,LOG_ID_RETRIEVE_CONF_LIST,Configuration list retrieval failed,Event,system,Warning,7.4.2
