Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
time,Time,string,8,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
logid,Log ID,string,10,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
type,Log Type,string,16,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
subtype,Log Subtype,string,20,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
level,Log Level,string,11,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
devid,Device ID,string,16,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
vd,Virtual Domain Name,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
eventtime,Event time,uint64,20,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
tz,Time zone,string,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
logdesc,Log Description,string,4096,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
action,Policy Action,string,65,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
remip,IPsec VPN remote gateway IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
user,User name of authenticated user,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
group,User group Name,string,512,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
msg,Log Message,string,4096,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
locip,IPsec VPN local gateway IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
remport,Remote Port,uint16,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
locport,Local Port,uint16,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
outintf,IPsec VPN binding interface,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
cookies,Cookie,string,64,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
useralt,,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
xauthuser,IPsec VPN Xauth user name,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
xauthgroup,IPsec VPN Xauth user group name,string,128,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
assignip,IPsec VPN tunnel assigned IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
vpntunnel,IPsec VPN Tunnel Name,string,128,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
status,Status,string,23,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
fctuid,,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
advpnsc,,uint8,3,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
reason,Reason,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.3
