Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
apn,Access Point Name,string,128,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
date,Date,string,10,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
devid,Device ID,string,16,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
end-usr-address,End user IP Address,ip,39,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
endusraddress6,,ip,39,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
eventtime,Event time line,uint64,20,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
from,From,ip,128,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
from6,,ip,39,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
imsi,International mobile subscriber ID,string,16,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
level,Log Level,string,11,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
logid,Log ID,string,10,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
profile,Profile Name,string,64,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
status,Status,string,23,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
subtype,Log Subtype,string,20,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
time,Time,string,8,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
to,To,ip,512,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
to6,,ip,39,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
tunnel-idx,"Tunnel serial number, internally assigned",uint32,10,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
type,Log Type,string,16,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
tz,Time zone,string,5,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
vd,Virtual Domain Name,string,32,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
version,Version,uint32,64,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
user_data,User traffic content inside GTP-U tunnel,string,256,41222 - LOGID_GTP_USER_DATA,41222,LOGID_GTP_USER_DATA,GTP user data,GTP,gtp-all,Information,7.4.4
