Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
time,Time,string,8,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
logid,Log ID,string,10,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
type,Log Type,string,16,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
subtype,Log Subtype,string,20,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
level,Log Level,string,11,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
devid,Device ID,string,16,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
vd,Virtual Domain Name,string,32,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
eventtime,Event time,uint64,20,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
tz,Time zone,string,5,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
logdesc,Log Description,string,4096,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
action,Policy Action,string,65,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
msg,Log Message,string,4096,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
nat,NAT IP Address,ip,39,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
saddr,Source Address IP,string,80,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
poolname,IP Pool Name,string,36,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
portbegin,Port Number to Begin,uint16,5,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
portend,Port Number to End,uint16,5,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
duration,Duration,uint32,10,22024 - LOG_ID_IPPOOLPBA_INTERIM,22024,LOG_ID_IPPOOLPBA_INTERIM,IP pool PBA interim log,Event,system,Notice,7.4.5
