Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint8,3,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
vd,,string,32,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
user,,string,256,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
unauthusersource,,string,66,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
unauthuser,,string,66,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
tz,,string,5,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
type,,string,16,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
tlsver,,string,8,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
time,,string,8,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
subtype,,string,20,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
srcuuid,,string,37,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
srcport,,uint16,5,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
srcip,,ip,39,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
srcintfrole,,string,10,62301 - LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,62301,LOG_ID_SSL_ANOMALY_CERT_RESIGN_TRUSTED,Server certificate has security problem,SSL,ssl-anomaly,Notice,7.4.6
