Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vd,Virtual Domain Name,string,32,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
user,User Name,string,256,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
url,URL,string,512,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
unauthusersource,Unauthenticated user source,string,66,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
unauthuser,Unauthenticated user,string,66,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
tz,Time zone,string,5,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
type,Log Type,string,16,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
time,Time,string,8,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
subtype,Log Subtype,string,20,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcuuid,,string,37,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcport,Source Port,uint16,5,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcip,Source IP Address,ip,39,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcintf,Source Interface,string,32,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srcdomain,,string,255,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
srccountry,,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
severity,Severity,string,6,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
sessionid,Session ID,uint32,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
service,Service name,string,5,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
referralurl,,string,512,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
rawdata,Raw Data,string,20480,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
ratemethod,,string,4096,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
proto,Protocol,uint8,3,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
profile,Full profile name,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
poluuid,,string,37,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
policytype,,string,24,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
policyid,Policy ID,uint32,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
name,Method or custom signature name,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
msg,Log Message,string,4096,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
logid,Log ID,string,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
level,Log Level,string,11,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
httpmethod,,string,20,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
group,User Group Name,string,512,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
fctuid,FortiClient UID,string,32,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
eventtype,Event Type,string,32,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
eventtime,"Event Time, Time when WAF event detected",uint64,20,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
eventid,Event ID,uint32,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstuuid,,string,37,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstuser,,string,256,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstport,Destination Port,uint16,5,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstip,Destination IP Address,ip,39,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstintf,Destination Interface,string,32,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstcountry,,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
dstauthserver,,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
direction,Direction,string,4096,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
devid,Device ID,string,16,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
date,Date,string,10,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
constraint,WAF HTTP protocol restrictions,string,4096,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
authserver,Authentication Server,string,64,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
agent,Agent,string,1024,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
action,Status of the session. Uses following definition: - Deny = blocked by firewall policy. - Start = session start log (special option to enable logging at start of a session). This means firewall allowed. - All Others = allowed by Firewall Policy and the status indicates how it was closed.,string,17,30258 - LOGID_WAF_CONSTRAINTS_PASS,30258,LOGID_WAF_CONSTRAINTS_PASS,Web application firewall allowed application by HTTP constraints,WAF,waf-http-constraint,Warning,7.4.8
