Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
tamac,"The MAC address of Transmitter. If none, then Receiver",string,17,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
encrypt,The packet is encrypted or not,uint8,3,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
seq,Sequence,string,512,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
ds,Direction with distribution system,string,8,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
frametype,Frame Type,string,32,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
rssi,The value of Received signal strength indicator,uint8,3,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
threattype,WIDS threat type,string,64,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
radioiddetected,The radio ID on the AP which detected the rogue ap,uint8,3,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
sndetected,SN of the AP which detected the rogue AP,string,36,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
age,Time in seconds - time passed since last seen,uint32,10,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
live,Time in seconds,uint32,10,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
manuf,Manufacturer name,string,20,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
channel,Channel,uint8,3,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
bssid,Basic service set ID,string,17,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
msg,Log Message,string,4096,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
action,Policy Action,string,65,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
logdesc,Log Description,string,4096,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
tz,Time zone,string,5,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
eventtime,Event time,uint64,20,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
vd,Virtual Domain Name,string,32,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
devid,Device ID,string,16,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
level,Log Level,string,11,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
subtype,Log Subtype,string,20,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
type,Log Type,string,16,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
logid,Log ID,string,10,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
time,Time,string,8,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
date,Date,string,10,43546 - LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,43546,LOG_ID_EVENT_WIRELESS_WIDS_SPOOF_DEAUTH,Wireless spoofed deauthentication detected,Event,wireless,Notice,7.6.1
