Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
name,,string,128,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
msg,,string,4096,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
ui,,string,64,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
user,,string,256,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
logdesc,,string,4096,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
tz,,string,5,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
eventtime,,uint64,20,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
vd,,string,32,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
devid,,string,16,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
level,,string,11,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
subtype,,string,20,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
type,,string,16,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
logid,,string,10,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
time,,string,8,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
date,,string,10,32618 - LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,32618,LOG_ID_FGT_SWITCH_EXPORT_POOL_UNDO,Revert export port to pool,Event,switch-controller,Information,7.6.4
